budget_fiscal_year,fundtype,appr,appropriation,service,objectgroup,expenditure_classification,current_budget,encumbrance,expenses,encumb_expense,ftyp,service_number
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Vital Statistics,TR,Transfers Out,0,0,59877.58,59877.58,EFOP,5.53
2016,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Dallas Love Field,TR,Transfers Out,841970,0,818417.31,818417.31,EFOP,2.12
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Cultural Services Contracts,RE,Reimbursements,0,0,-36375,-36375,GNFD,4.03
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Construction Plan Review and Permitting,TR,Transfers Out,1241211,0,1228509.75,1228509.75,EFOP,2.08
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Animal Remains Collection,TR,Transfers Out,28488,0,28029.95,28029.95,EFOP,3.03
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,City GIS Services,TR,Transfers Out,0,0,62547.27,62547.27,EFOP,5.18
2016,Internal Service Fund,0198DSV,Information Technology DSV,Business Technology Services,TR,Transfers Out,305843,0,296430.29,296430.29,INSV,5.C
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Capital Program Management,RE,Reimbursements,0,0,-218950,-218950,EFOP,2.54
2016,Internal Service Fund,0198DSV,Information Technology DSV,Strategic Technology Management,TR,Transfers Out,5320781,0,363287.35,363287.35,INSV,5.Q
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Maintenance and Repair Services,TR,Transfers Out,807932,0,815109.89,815109.89,INSV,5.E
2016,General Fund,0001POM,Business Development & Procurement GF,Vendor Development,QM,Supplies & Materials,225,0,1660,1660,GNFD,2.5099999999999998
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Paint and Body Shop Coordination,TR,Transfers Out,1683,0,1697.95,1697.95,INSV,5.F
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Fuel Procurement and Management,TR,Transfers Out,270164,0,36324.88,36324.88,INSV,5.I
2016,Internal Service Fund,0198DSV,Information Technology DSV,Public Safety Technology Support,TR,Transfers Out,108329,0,104995.04,104995.04,INSV,5.O
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Department Support,TR,Transfers Out,88720,0,89508.22,89508.22,INSV,9.99
2016,General Fund,0001SEC,City Secretary's Office GF,Records Management,QM,Supplies & Materials,1201,0,826.91,826.91,GNFD,5.5
2016,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Capital Construction and Debt Service,QV,Contractual & Other Services,2167969,0,1758840.19,1758840.19,EFOP,2.06
2016,Other Operating Fund,0191DSV,9-1-1 System Operations,9-1-1 Technology/Education Services,QM,Supplies & Materials,218701,0,41607,41607,OTHO,5.A
2016,Internal Service Fund,0198DSV,Information Technology DSV,Internal Telephone and Data Communication,TR,Transfers Out,34387,0,33328.70,33328.70,INSV,5.N
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Asset Management,TR,Transfers Out,355620,0,65649.11,65649.11,INSV,5.D
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Environmental Services for City Fleet Operations,TR,Transfers Out,25989,0,26219.89,26219.89,INSV,5.H
2016,General Fund,0001CTS,Court and Detention Services GF,Municipal Court Services,RC,Capital Outlay,0,0,35643,35643,GNFD,1.17
2016,Other Operating Fund,0286PER,Wellness Program Fund,Wellness Program,TR,Transfers Out,0,0,13770.35,13770.35,OTHO,5.R
2016,General Fund,0001DPD,Police Department GF,Police Criminal Investigations,TR,Transfers Out,158337,0,0,0,GNFD,1.23
2016,Other Operating Fund,0195ORM,Office of Risk Management,Risk Management Services,TR,Transfers Out,129251,0,126532.23,126532.23,OTHO,5.P
2016,General Fund,0001PKR,Park and Recreation GF,Department Support,QM,Supplies & Materials,0,0,4072.58,4072.58,GNFD,9.99
2016,Internal Service Fund,0198DSV,Information Technology DSV,Internal Desktop Support,TR,Transfers Out,205010,0,204855.81,204855.81,INSV,5.L
2016,Internal Service Fund,0197DSV,Radio Services DSV,Internal Radio Communication,TR,Transfers Out,147540,0,135047.60,135047.60,INSV,5.M
2016,Other Operating Fund,0191DSV,9-1-1 System Operations,9-1-1 Technology/Education Services,TR,Transfers Out,5489,0,6078.40,6078.40,OTHO,5.A
2016,General Fund,0001POM,Business Development & Procurement GF,Business Inclusion & Development Compliance Monitoring,QM,Supplies & Materials,32542,0,31370.50,31370.50,GNFD,5.1100000000000003
2016,General Fund,0001PKR,Park and Recreation GF,Park Land Maintained,RC,Capital Outlay,300000,0,613600.03,613600.03,GNFD,4.09
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Engineering & Inspection Review for Private Development,WB,Debt Svc-Interest On Bonds,0,0,4442.10,4442.10,EFOP,2.15
2016,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Dallas Love Field,WB,Debt Svc-Interest On Bonds,0,0,8119.30,8119.30,EFOP,2.12
2016,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Dallas Love Field,WA,Debt Svc-Principal,280207,0,261069.86,261069.86,EFOP,2.12
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Department Support,QM,Supplies & Materials,0,0,99.08,99.08,GNFD,9.99
2016,General Fund,0001PBW,Public Works GF,Department Support,RE,Reimbursements,-1190494,0,-1128824.09,-1128824.09,GNFD,9.99
2016,General Fund,0001SEC,City Secretary's Office GF,Customer Service,QM,Supplies & Materials,2181,0,1098.22,1098.22,GNFD,5.23
2016,General Fund,0001BMS,Office of Financial Services GF,Grant Administration,QM,Supplies & Materials,17520,0,5348.42,5348.42,GNFD,5.36
2016,Enterprise Operating Fund,0130AVI,Airport Operations AVI,Capital Construction and Debt Service,QM,Supplies & Materials,0,0,5278.72,5278.72,EFOP,2.06
2016,General Fund,0001ATT,City Attorney's Office GF,Litigation,RE,Reimbursements,-93701,0,-114346.43,-114346.43,GNFD,5.45
2016,General Fund,0001HOU,Housing GF,Home Ownership/Development,QM,Supplies & Materials,7105,0,682.38,682.38,GNFD,2.2400000000000002
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Dallas Convention Center,WA,Debt Svc-Principal,1981003,0,1981003.02,1981003.02,EFOP,2.1
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Investigation & Explosive Ordnance Disposal,RE,Reimbursements,0,0,-1039.40,-1039.40,GNFD,1.1100000000000001
2016,General Fund,0001OCA,Office of Cultural Affairs GF,City-Owned Cultural Venues,WA,Debt Svc-Principal,0,0,598303.48,598303.48,GNFD,4.0199999999999996
2016,General Fund,0001CCO,City Controller's Office GF,Deferred Compensation,RE,Reimbursements,-105300,0,-86733.60,-86733.60,GNFD,5.24
2016,General Fund,0001OCA,Office of Cultural Affairs GF,City-Owned Cultural Venues,WB,Debt Svc-Interest On Bonds,0,0,64407.52,64407.52,GNFD,4.0199999999999996
2016,General Fund,0001DEV,Sustainable Dev and Construction GF,Authorized Hearings,QV,Contractual & Other Services,36256,0,5169.75,5169.75,GNFD,2.02
2016,General Fund,0001PNV,Planning and Urban Design GF,Neighborhood Vitality,TR,Transfers Out,0,0,100000,100000,GNFD,2.2799999999999998
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Convention Center Debt Service Payment,TR,Transfers Out,21583800,0,21583800,21583800,EFOP,2.09
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Dallas Convention Center,WB,Debt Svc-Interest On Bonds,23456,0,23455.82,23455.82,EFOP,2.1
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,DWU General Expense,TR,Transfers Out,22594000,0,22593195,22593195,EFOP,5.26
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Security Service for City Facilities,QV,Contractual & Other Services,0,0,0,0,INSV,1.32
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Customer Account Services,RC,Capital Outlay,200000,0,0,0,EFOP,5.55
2016,General Fund,0001CTJ,Judiciary GF,Court Security,RE,Reimbursements,-292100,0,-292100,-292100,GNFD,1.05
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Dallas Convention Center,RE,Reimbursements,0,0,-168386.60,-168386.60,EFOP,2.1
2016,General Fund,0001CCO,City Controller's Office GF,Cash and Debt Management,QM,Supplies & Materials,0,0,5.6,5.6,GNFD,5.12
2016,General Fund,0001CCO,City Controller's Office GF,Accounts Payable,RE,Reimbursements,0,0,-1800,-1800,GNFD,5.0199999999999996
2016,Internal Service Fund,0198DSV,Information Technology DSV,Public Safety Technology Support,QM,Supplies & Materials,80000,0,8712.11,8712.11,INSV,5.O
2016,General Fund,0001EBS,Building Services GF,Energy Procurement and Monitoring,RE,Reimbursements,-159493,0,-458298.88,-458298.88,GNFD,5.29
2016,General Fund,0001ATT,City Attorney's Office GF,Code Litigation,QM,Supplies & Materials,18026,0,2775.71,2775.71,GNFD,3.06
2016,General Fund,0001CSC,Mgmt Services - 311 Customer Service Center,311 Customer Service Center,RE,Reimbursements,-4129653,0,-4129529.31,-4129529.31,GNFD,5.01
2016,General Fund,0001PER,Human Resources GF,Compensation Analysis / Classification,QM,Supplies & Materials,1230,0,836.75,836.75,GNFD,5.21
2016,General Fund,0001DPD,Police Department GF,Police Investigation of Vice Related Crimes,RE,Reimbursements,-26000,0,-76111.22,-76111.22,GNFD,1.26
2016,General Fund,0001ELE,Elections,Elections,QM,Supplies & Materials,5007,0,1976.38,1976.38,GNFD,5.27
2016,General Fund,0001OFS,Non-Departmental,Tax Increment Financing Districts Payments,QV,Contractual & Other Services,26182783,0,26017572.16,26017572.16,GNFD,2.46
2016,Internal Service Fund,0197DSV,Radio Services DSV,Internal Radio Communication,PS,Personnel Services,2290981,0,2081340.69,2081340.69,INSV,5.M
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Recycling Collection and Waste Diversion,RE,Reimbursements,0,0,-139221.25,-139221.25,EFOP,3.19
2016,General Fund,0001DPD,Police Department GF,Juvenile Case Managers/First Offender Program,PS,Personnel Services,489854,0,416645.71,416645.71,GNFD,1.1499999999999999
2016,General Fund,0001CTJ,Judiciary GF,Court Security,QM,Supplies & Materials,6900,0,1238.04,1238.04,GNFD,1.05
2016,General Fund,0001PKR,Park and Recreation GF,Leisure Venue Management,PS,Personnel Services,205767,0,182882.60,182882.60,GNFD,4.05
2016,General Fund,0001ATT,City Attorney's Office GF,Police Legal Liaison,PS,Personnel Services,531484,0,545797.37,545797.37,GNFD,1.28
2016,General Fund,0001EMS,Mgmt Services - EMS Compliance,EMS Compliance Program,PS,Personnel Services,377560,0,382822.90,382822.90,GNFD,5.28
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,GIS Mapping for Private Development,QM,Supplies & Materials,4675,0,3375.45,3375.45,EFOP,2.2200000000000002
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Department Support,QM,Supplies & Materials,2450,0,2638.02,2638.02,EFOP,9.99
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire-Rescue Equipment Maintenance and Supply,PS,Personnel Services,3974736,0,4084118.58,4084118.58,GNFD,1.1299999999999999
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Cultural Services Contracts,PS,Personnel Services,320706,0,317911.55,317911.55,GNFD,4.03
2016,General Fund,0001EBS,Building Services GF,Custodial Maintenance,RE,Reimbursements,-102829,0,-148682.25,-148682.25,GNFD,3.11
2016,General Fund,0001ATT,City Attorney's Office GF,Municipal Prosecution,QM,Supplies & Materials,16064,0,9493.73,9493.73,GNFD,1.19
2016,General Fund,0001PER,Human Resources GF,Compensation Analysis / Classification,PS,Personnel Services,358580,0,279302.21,279302.21,GNFD,5.21
2016,General Fund,0001AGE,Mgmt Services - Council Agenda,City Agenda Process,PS,Personnel Services,194162,0,187211.42,187211.42,GNFD,5.15
2016,General Fund,0001CVS,Civil Service GF,Applicant Processing - Uniform,QM,Supplies & Materials,3800,0,5091.99,5091.99,GNFD,5.0599999999999996
2016,General Fund,0001BMS,Office of Financial Services GF,Department Support,QM,Supplies & Materials,0,0,2310.17,2310.17,GNFD,9.99
2016,General Fund,0001CTJ,Judiciary GF,Court Security,QV,Contractual & Other Services,2095,0,120,120,GNFD,1.05
2016,General Fund,0001PBW,Public Works GF,Pavement Management,PS,Personnel Services,226541,0,227083.14,227083.14,GNFD,2.31
2016,General Fund,0001PKR,Park and Recreation GF,Aquatic Services,PS,Personnel Services,1899127,0,1745917.38,1745917.38,GNFD,4.01
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Zoning & Board of Adjustment,RE,Reimbursements,-86388,0,-78585.52,-78585.52,EFOP,2.5499999999999998
2016,General Fund,0001EBS,Building Services GF,Energy Procurement and Monitoring,PS,Personnel Services,141483,0,153759.07,153759.07,GNFD,5.29
2016,General Fund,0001CMO,City Manager's Office GF,City Administration,QM,Supplies & Materials,4719,0,7502.50,7502.50,GNFD,5.14
2016,Internal Service Fund,0198DSV,Information Technology DSV,Public Safety Technology Support,PS,Personnel Services,1997961,0,1722613.08,1722613.08,INSV,5.O
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Department Support,PS,Personnel Services,0,0,1583087.03,1583087.03,EFOP,9.99
2016,General Fund,0001PBW,Public Works GF,Air Quality Compliance,PS,Personnel Services,544654,0,556740.21,556740.21,GNFD,3.01
2016,General Fund,0001HOU,Housing GF,Home Ownership/Development,PS,Personnel Services,322109,0,335122.47,335122.47,GNFD,2.2400000000000002
2016,General Fund,0001SEC,City Secretary's Office GF,Archives,PS,Personnel Services,151896,0,126663.98,126663.98,GNFD,5.07
2016,General Fund,0001CCS,Code Compliance GF,Neighborhood Nuisance Abatement,PS,Personnel Services,4197436,0,3534486.01,3534486.01,GNFD,3.18
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Floodplain and Drainage Management,PS,Personnel Services,2459690,0,1917973.75,1917973.75,EFOP,2.2000000000000002
2016,General Fund,0001CVS,Civil Service GF,Fire Applicant - Physical Abilities Testing,PS,Personnel Services,41875,0,72934.07,72934.07,GNFD,5.33
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Zoning & Board of Adjustment,PS,Personnel Services,1539069,0,1351360.51,1351360.51,EFOP,2.5499999999999998
2016,General Fund,0001ATT,City Attorney's Office GF,"Environ Enforcement, Compliance, and Support (Legal Service)",PS,Personnel Services,80425,0,70830.91,70830.91,GNFD,3.13
2016,General Fund,0001CMO,City Manager's Office GF,City Administration,RE,Reimbursements,-597607,0,-597607,-597607,GNFD,5.14
2016,Internal Service Fund,0196EBS,Equipment Services EBS,City Fleet Paint and Body Shop Coordination,PS,Personnel Services,35014,0,103033.91,103033.91,INSV,5.F
2016,General Fund,0001BAC,Mgmt Services - Boards and Commissions,Boards and Commissions Liaison,PS,Personnel Services,71821,0,71236.55,71236.55,GNFD,5.09
2016,General Fund,0001OEM,Mgmt Services - Emergency Management,Emergency Management Operations,RE,Reimbursements,-310991,0,-314744.42,-314744.42,GNFD,1.07
2016,General Fund,0001CCS,Code Compliance GF,Department Support,RE,Reimbursements,-871196,0,-871195,-871195,GNFD,9.99
2016,General Fund,0001PBW,Public Works GF,Adjudication Office,PS,Personnel Services,411393,0,384704.38,384704.38,GNFD,1.01
2016,General Fund,0001BMS,Office of Financial Services GF,Utility Management,PS,Personnel Services,130194,0,129727.58,129727.58,GNFD,5.52
2016,Other Operating Fund,0191DSV,9-1-1 System Operations,9-1-1 Technology/Education Services,PS,Personnel Services,243852,0,142415.77,142415.77,OTHO,5.A
2016,General Fund,0001BMS,Office of Financial Services GF,Citywide Capital and Operating Budget Dev and Monitoring,PS,Personnel Services,864077,0,889073.55,889073.55,GNFD,5.19
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,"Water Planning, Financial and Rate Services",PS,Personnel Services,1812329,0,1726087.27,1726087.27,EFOP,5.54
2016,General Fund,0001PER,Human Resources GF,Department Support,RE,Reimbursements,-437015,0,-471012,-471012,GNFD,9.99
2016,General Fund,0001EMS,Mgmt Services - EMS Compliance,EMS Compliance Program,QM,Supplies & Materials,0,0,2618.33,2618.33,GNFD,5.28
2016,General Fund,0001ADM,Mgmt Services - Admin,311 Customer Service Center,PS,Personnel Services,286825,0,266365.51,266365.51,GNFD,5.01
2016,General Fund,0001ECO,Economic Development GF,Economic Development Major Projects & Other Programs,PS,Personnel Services,412968,0,360778.50,360778.50,GNFD,2.13
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,Water Utilities Customer Account Services,RE,Reimbursements,-576915,0,-723747.30,-723747.30,EFOP,5.55
2016,Enterprise Operating Fund,0080CCT,Convention Center CCT,Office of Special Events,QM,Supplies & Materials,13116,0,3838.81,3838.81,EFOP,2.29
2016,General Fund,0001ECO,Economic Development GF,Economic Development Research and Information Services,PS,Personnel Services,405543,0,435036.02,435036.02,GNFD,2.14
2016,General Fund,0001DEV,Sustainable Dev and Construction GF,Historic Preservation,QM,Supplies & Materials,5550,0,1037.23,1037.23,GNFD,2.23
2016,General Fund,0001PBW,Public Works GF,Capital Facilities,PS,Personnel Services,1816641,0,1764375.34,1764375.34,GNFD,2.0699999999999998
2016,General Fund,0001PIO,Mgmt Services - Public Information Office,Public Information Office / Communications & Broadcasting,PS,Personnel Services,1320458,0,1285530.10,1285530.10,GNFD,5.48
2016,General Fund,0001SEC,City Secretary's Office GF,Customer Service,PS,Personnel Services,170140,0,157249.09,157249.09,GNFD,5.23
2016,General Fund,0001STL,Street Lighting,Street Lighting,PS,Personnel Services,76262,0,160784.78,160784.78,GNFD,2.42
2016,General Fund,0001OEM,Mgmt Services - Emergency Management,Emergency Management Operations,PS,Personnel Services,581095,0,593468.79,593468.79,GNFD,1.07
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,City GIS Services,RC,Capital Outlay,26400,0,5895,5895,EFOP,5.18
2016,General Fund,0001PKR,Park and Recreation GF,Department Support,PS,Personnel Services,2780538,0,2957304.40,2957304.40,GNFD,9.99
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Private Development Survey,PS,Personnel Services,520506,0,405324.89,405324.89,EFOP,2.34
2016,Internal Service Fund,0199POM,Express Business Center POM,Business Services,RE,Reimbursements,-1200000,0,-1294620.72,-1294620.72,INSV,5.B
2016,General Fund,0001CVS,Civil Service GF,Applicant Processing - Civilian,QM,Supplies & Materials,6100,0,7723.78,7723.78,GNFD,5.05
2016,General Fund,0001CMO,City Manager's Office GF,City Administration,PS,Personnel Services,2392182,0,2365214.61,2365214.61,GNFD,5.14
2016,Internal Service Fund,0198DSV,Information Technology DSV,Internal Desktop Support,PS,Personnel Services,87351,0,70464.08,70464.08,INSV,5.L
2016,General Fund,0001ECO,Economic Development GF,Small Business Initiatives,PS,Personnel Services,741356,0,549317.96,549317.96,GNFD,2.4
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Environmental Services for City Fleet Operations,PS,Personnel Services,443688,0,367339.50,367339.50,INSV,5.H
2016,General Fund,0001ATT,City Attorney's Office GF,General Counsel,RE,Reimbursements,-120842,0,-103511.72,-103511.72,GNFD,5.34
2016,General Fund,0001POM,Business Development & Procurement GF,Business Inclusion & Development Compliance Monitoring,RE,Reimbursements,-77110,0,-77203.16,-77203.16,GNFD,5.1100000000000003
2016,General Fund,0001IGS,Mgmt Services - Intergovernmental Services,Intergovernmental Services,PS,Personnel Services,698842,0,662012.95,662012.95,GNFD,5.41
2016,General Fund,0001ATT,City Attorney's Office GF,Department Support,RE,Reimbursements,-1218278,0,-1357162,-1357162,GNFD,9.99
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,Animal Remains Collection,PS,Personnel Services,464894,0,434620.63,434620.63,EFOP,3.03
2016,Internal Service Fund,0198DSV,Information Technology DSV,Internal Telephone and Data Communication,PS,Personnel Services,634289,0,385768.29,385768.29,INSV,5.N
2016,General Fund,0001PER,Human Resources GF,HRIS and HR Payroll Services,QM,Supplies & Materials,7090,0,4396.50,4396.50,GNFD,5.38
2016,General Fund,0001PER,Human Resources GF,Human Resource Consulting,QM,Supplies & Materials,10395,0,20943.54,20943.54,GNFD,5.39
2016,Other Operating Fund,0286PER,Wellness Program Fund,Wellness Program,PS,Personnel Services,428603,0,352342.18,352342.18,OTHO,5.R
2016,General Fund,0001PNV,Planning and Urban Design GF,Neighborhood Vitality,PS,Personnel Services,869595,0,575005.03,575005.03,GNFD,2.2799999999999998
2016,General Fund,0001AUD,City Auditor's Office GF,"Audits, Attestations and Investigations",PS,Personnel Services,2728685,0,2723120.96,2723120.96,GNFD,5.08
2016,General Fund,0001CTJ,Judiciary GF,Community Court,QV,Contractual & Other Services,150,0,334.15,334.15,GNFD,1.04
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,GIS Mapping for Private Development,PS,Personnel Services,643981,0,471689.21,471689.21,EFOP,2.2200000000000002
2016,General Fund,0001FHO,Mgmt Services - Fair Housing,Fair Housing and Human Rights Compliance,PS,Personnel Services,113401,0,117613.64,117613.64,GNFD,5.31
2016,General Fund,0001LIB,Library GF,"Literacy Initiatives, Education & Community Engagement",PS,Personnel Services,807170,0,834065.26,834065.26,GNFD,4.08
2016,General Fund,0001OCA,Office of Cultural Affairs GF,Public Art for Dallas,PS,Personnel Services,336954,0,275745.58,275745.58,GNFD,4.1100000000000003
2016,General Fund,0001CRO,Mgmt Services - Resiliency Office,Resiliency Office,PS,Personnel Services,282258,0,274164.87,274164.87,GNFD,2.37
2016,General Fund,0001DFD,Dallas Fire Rescue GF,Fire Inspection for New Construction,RE,Reimbursements,-1000000,0,-2000712.16,-2000712.16,GNFD,2.1800000000000002
2016,General Fund,0001STS,Street Services GF,Rights-of-Way Maintenance Contracts and Inspections Group,PS,Personnel Services,1609824,0,1510801.68,1510801.68,GNFD,2.38
2016,General Fund,0001CVS,Civil Service GF,Applicant Processing - Uniform,PS,Personnel Services,502154,0,491399.45,491399.45,GNFD,5.0599999999999996
2016,Internal Service Fund,0198DSV,Information Technology DSV,Business Technology Services,PS,Personnel Services,5475057,0,4325788.95,4325788.95,INSV,5.C
2016,Enterprise Operating Fund,0440SAN,Sanitation Operating Fund,City Facility Services,PS,Personnel Services,91597,0,73735.65,73735.65,EFOP,3.05
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Construction Plan Review and Permitting,RE,Reimbursements,0,0,-10870.67,-10870.67,EFOP,2.08
2016,General Fund,0001ECO,Economic Development GF,Area Redevelopment,PS,Personnel Services,651085,0,611228.84,611228.84,GNFD,2.0099999999999998
2016,General Fund,0001EBS,Building Services GF,Bullington Truck Terminal and Thanksgiving Square,PS,Personnel Services,42931,0,44502.99,44502.99,GNFD,2.0299999999999998
2016,General Fund,0001PKR,Park and Recreation GF,Operation & Maintenance of Fair Park,RC,Capital Outlay,15000,0,30745,30745,GNFD,2.2999999999999998
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Stormwater Regulations & Enforcement,PS,Personnel Services,4011544,0,3677345.41,3677345.41,EFOP,3.22
2016,General Fund,0001CPE,Mgmt Services - Strategic Initiatives,Center for Performance Excellence,PS,Personnel Services,932006,0,959517.15,959517.15,GNFD,5.13
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,City GIS Services,PS,Personnel Services,1252868,0,1238315.85,1238315.85,EFOP,5.18
2016,General Fund,0001PBW,Public Works GF,Interagency and Transportation Administration,PS,Personnel Services,1350819,0,1233513.98,1233513.98,GNFD,2.2599999999999998
2016,Internal Service Fund,0196EBS,Equipment Services EBS,Fuel Procurement and Management,PS,Personnel Services,675763,0,757618.49,757618.49,INSV,5.I
2016,General Fund,0001ATT,City Attorney's Office GF,Community Prosecution & Community Courts,PS,Personnel Services,1593912,0,1432888.57,1432888.57,GNFD,3.07
2016,General Fund,0001PNV,Planning and Urban Design GF,Department Support,PS,Personnel Services,570188,0,528422.26,528422.26,GNFD,9.99
2016,General Fund,0001CRO,Mgmt Services - Resiliency Office,Resiliency Office,RE,Reimbursements,0,0,-213733.48,-213733.48,GNFD,2.37
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Engineering & Inspection Review for Private Development,RE,Reimbursements,-526899,0,-526899,-526899,EFOP,2.15
2016,General Fund,0001CVS,Civil Service GF,Civil Service Board Administration/Employee Appeals Process,PS,Personnel Services,358465,0,364787.18,364787.18,GNFD,5.2
2016,General Fund,0001PBW,Public Works GF,Underground Storage Tank Replacement and Inspection,PS,Personnel Services,77075,0,76646.75,76646.75,GNFD,3.23
2016,General Fund,0001OFS,Non-Departmental,Non-Departmental,RE,Reimbursements,0,0,-50115,-50115,GNFD,5.46
2016,General Fund,0001DEV,Sustainable Dev and Construction GF,Historic Preservation,QV,Contractual & Other Services,113501,0,88689.85,88689.85,GNFD,2.23
2016,General Fund,0001DEV,Sustainable Dev and Construction GF,Authorized Hearings,PS,Personnel Services,335055,0,338335.66,338335.66,GNFD,2.02
2016,General Fund,0001CCO,City Controller's Office GF,Deferred Compensation,PS,Personnel Services,164648,0,164427.74,164427.74,GNFD,5.24
2016,General Fund,0001CCO,City Controller's Office GF,Deferred Compensation,QM,Supplies & Materials,2000,0,670.69,670.69,GNFD,5.24
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Department Support,PS,Personnel Services,358430,0,279386.46,279386.46,EFOP,9.99
2016,General Fund,0001POM,Business Development & Procurement GF,Vendor Development,PS,Personnel Services,195930,0,191899.31,191899.31,GNFD,2.5099999999999998
2016,Enterprise Operating Fund,0150DEV,Sustainable Dev and Construction - Enterprise,Subdivision Plat Review,QM,Supplies & Materials,5475,0,5079.53,5079.53,EFOP,2.4500000000000002
2016,General Fund,0001CVS,Civil Service GF,Analysis/Development and Validation,QM,Supplies & Materials,10400,0,19655.30,19655.30,GNFD,5.04
2016,General Fund,0001ECO,Economic Development GF,Department Support,PS,Personnel Services,884013,0,879007.91,879007.91,GNFD,9.99
2016,General Fund,0001PKR,Park and Recreation GF,"Planning, Design, Construction & EMS and Environ Compliance",RE,Reimbursements,-100000,0,-144787.12,-144787.12,GNFD,4.0999999999999996
2016,General Fund,0001CCO,City Controller's Office GF,Department Support,PS,Personnel Services,172258,0,178867.30,178867.30,GNFD,9.99
2016,Enterprise Operating Fund,0061SDM,Storm Drainage Mgmt Operations,Stormwater Regulations & Enforcement,RC,Capital Outlay,203120,0,52484.89,52484.89,EFOP,3.22
2016,General Fund,0001LEW,Jail Contract,Lew Sterrett Jail Contract,QV,Contractual & Other Services,7557391,0,7557390.96,7557390.96,GNFD,1.1599999999999999
2016,General Fund,0001CTJ,Judiciary GF,Court Security,PS,Personnel Services,755210,0,928724.85,928724.85,GNFD,1.05
2016,General Fund,0001LIB,Library GF,Library Materials & Collection Management,PS,Personnel Services,1069420,0,998020.13,998020.13,GNFD,4.0599999999999996
2016,General Fund,0001OFS,Non-Departmental,General Obligation Commercial Paper and Master Lease Program,QV,Contractual & Other Services,14697733,0,9927550.77,9927550.77,GNFD,5.35
2016,General Fund,0001CCS,Code Compliance GF,Consumer Health,RE,Reimbursements,-204560,0,-204560,-204560,GNFD,3.1
2016,Enterprise Operating Fund,0100DWU,Water Utilities DWU,DWU General Expense,RC,Capital Outlay,2157771,0,2207570.94,2207570.94,EFOP,5.26
2016,General Fund,0001PER,Human Resources GF,Department Support,PS,Personnel Services,437015,0,458807.50,458807.50,GNFD,9.99
2016,General Fund,0001ECO,Economic Development GF,Dallas Film Commission,PS,Personnel Services,283095,0,206366.97,206366.97,GNFD,2.11
